,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,classificacao_ah1,classificacao_ah2,ah1_positivo,ah1_negativo,ah1_reembolso,ah1_indefinido,ah1_meio_ganho,ah2_positivo,ah2_negativo,ah2_reembolso,ah2_indefinido,ah2_meio_ganho,ah2_meia_perda,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,classificacao_gl1,classificacao_gl2,gl1_positivo,gl1_negativo,gl1_reembolso,gl1_indefinido,gl1_meio_ganho,gl1_meia_perda,gl2_positivo,gl2_negativo,gl2_reembolso,gl2_indefinido,gl2_meio_ganho,gl2_meia_perda,res_double_chance1,res_double_chance2,res_double_chance3,res_draw_no_bet1,res_draw_no_bet2,dnb1_ganha,dnb1_perde,dnb1_reembolso,dnb1_indefinido,dnb2_ganha,dnb2_perde,dnb2_reembolso,dnb2_indefinido
524,173639756,11224914,11223762,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250425,,,,,,,,False,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,indefinido,indefinido,False,False,False,True,False,False,False,True
525,173639769,11223791,11241277,2.0,3.0,5.0,2.5,1.062,8.000,"0.0, +0.5",1,1.900,"0.0, -0.5",2,1.800,5.5,1.0,1.850,5.5,2.0,1.850,Ukraine (DangerDim77) or Draw,1.666,Draw or Czechia (GianniKid),1.333,Ukraine (DangerDim77) or Czechia (GianniKid),1.200,1,2.250,2,1.571,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.5,5.5,5.5,5.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
526,173639775,11224940,11224935,2.0,4.0,6.0,2.5,1.166,4.500,"0.0, +0.5",1,1.900,"0.0, -0.5",2,1.800,4.5,1.0,1.900,4.5,2.0,1.800,Denmark (R0ge) or Draw,1.666,Draw or USA (JKey),1.333,Denmark (R0ge) or USA (JKey),1.200,1,2.250,2,1.571,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,4.5,4.5,4.5,4.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
527,173632172,11246210,11275372,1.0,2.0,3.0,2.5,1.142,5.000,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,4.5,1.0,1.850,4.5,2.0,1.850,Bologna (goldfer) or Draw,1.363,Draw or Fiorentina (Samurai),1.666,Bologna (goldfer) or Fiorentina (Samurai),1.166,1,1.615,2,2.200,20250425,,,,,,,,True,0.0,-0.5,0.0,0.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,4.5,4.5,4.5,4.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
528,173639779,11224940,11223791,1.0,1.0,2.0,2.5,1.142,5.000,,,,,,,,,,,,,Denmark (R0ge) or Draw,1.571,Draw or Ukraine (DangerDim77),1.400,Denmark (R0ge) or Ukraine (DangerDim77),1.200,1,2.000,2,1.727,20250425,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
529,173639786,11224935,11241277,0.0,2.0,2.0,2.5,1.040,9.000,,,,,,,,,,,,,USA (JKey) or Draw,1.571,Draw or Czechia (GianniKid),1.444,USA (JKey) or Czechia (GianniKid),1.166,1,2.000,2,1.727,20250425,,,,,,,,False,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
530,173639791,11241277,11224940,1.0,3.0,4.0,2.5,1.166,4.500,"-0.5, -1.0",1,1.900,"+0.5, +1.0",2,1.800,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Czechia (GianniKid) or Draw,1.250,Draw or Denmark (R0ge),1.909,Czechia (GianniKid) or Denmark (R0ge),1.142,1,1.400,2,2.750,20250425,,,,,,,,True,-0.5,-1.0,0.5,1.0,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,4.0,4.5,4.0,4.5,meia_perda,meio_ganho,False,False,False,False,False,True,False,False,False,False,True,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
531,173639796,11224935,11223791,1.0,4.0,5.0,2.5,1.040,9.000,"0.0, -0.5",1,1.900,"0.0, +0.5",2,1.800,6.0,1.0,1.850,6.0,2.0,1.850,USA (JKey) or Draw,1.444,Draw or Ukraine (DangerDim77),1.600,USA (JKey) or Ukraine (DangerDim77),1.166,1,1.727,2,2.000,20250425,,,,,,,,True,0.0,-0.5,0.0,0.5,-3.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,6.0,6.0,6.0,6.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
532,173632182,11275373,11275372,3.0,4.0,7.0,2.5,1.100,6.500,+0.5,1,1.850,-0.5,2,1.850,5.0,1.0,1.825,5.0,2.0,1.875,Napoli (v1nniePuh) or Draw,1.800,Draw or Fiorentina (Samurai),1.285,Napoli (v1nniePuh) or Fiorentina (Samurai),1.181,1,2.625,2,1.444,20250425,,,,,,,,True,0.5,0.5,-0.5,-0.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.0,5.0,5.0,5.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
533,173639800,11223791,11241277,2.0,4.0,6.0,2.5,1.062,8.000,"0.0, +0.5",1,1.900,"0.0, -0.5",2,1.800,5.5,1.0,1.850,5.5,2.0,1.850,Ukraine (DangerDim77) or Draw,1.666,Draw or Czechia (GianniKid),1.333,Ukraine (DangerDim77) or Czechia (GianniKid),1.200,1,2.250,2,1.571,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.5,5.5,5.5,5.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
534,173639805,11224940,11224935,1.0,2.0,3.0,2.5,1.166,4.500,,,,,,,,,,,,,Denmark (R0ge) or Draw,1.666,Draw or USA (JKey),1.300,Denmark (R0ge) or USA (JKey),1.200,1,2.250,2,1.571,20250425,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
535,173632190,11246210,11275373,1.0,3.0,4.0,2.5,1.111,6.000,"-0.5, -1.0",1,1.875,"+0.5, +1.0",2,1.825,"4.5, 5.0",1.0,1.800,"4.5, 5.0",2.0,1.900,Bologna (goldfer) or Draw,1.285,Draw or Napoli (v1nniePuh),1.950,Bologna (goldfer) or Napoli (v1nniePuh),1.111,1,1.444,2,2.625,20250425,,,,,,,,True,-0.5,-1.0,0.5,1.0,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,4.5,5.0,4.5,5.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
536,173639814,11224935,11241277,4.0,4.0,8.0,2.5,1.040,9.000,"0.0, +0.5",1,1.775,"0.0, -0.5",2,1.925,"5.5, 6.0",1.0,1.800,"5.5, 6.0",2.0,1.900,USA (JKey) or Draw,1.571,Draw or Czechia (GianniKid),1.444,USA (JKey) or Czechia (GianniKid),1.166,1,2.000,2,1.727,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,0.0,meio_ganho,meia_perda,False,False,False,False,False,False,False,False,False,False,True,5.5,6.0,5.5,6.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
537,173639808,11224940,11223791,4.0,1.0,5.0,2.5,1.166,4.500,"0.0, +0.5",1,1.775,"0.0, -0.5",2,1.925,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Denmark (R0ge) or Draw,1.571,Draw or Ukraine (DangerDim77),1.400,Denmark (R0ge) or Ukraine (DangerDim77),1.222,1,2.000,2,1.727,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,3.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,4.0,4.5,4.0,4.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
538,173632228,11275372,11246210,1.0,2.0,3.0,2.5,1.142,5.000,"0.0, +0.5",1,1.900,"0.0, -0.5",2,1.800,4.5,1.0,1.850,4.5,2.0,1.850,Fiorentina (Samurai) or Draw,1.666,Draw or Bologna (goldfer),1.363,Fiorentina (Samurai) or Bologna (goldfer),1.166,1,2.200,2,1.615,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,4.5,4.5,4.5,4.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
539,173639819,11241277,11224940,6.0,3.0,9.0,2.5,1.200,4.333,"-0.5, -1.0",1,1.900,"+0.5, +1.0",2,1.800,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Czechia (GianniKid) or Draw,1.250,Draw or Denmark (R0ge),1.909,Czechia (GianniKid) or Denmark (R0ge),1.142,1,1.400,2,2.750,20250425,,,,,,,,True,-0.5,-1.0,0.5,1.0,3.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,4.0,4.5,4.0,4.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
540,173639824,11224935,11223791,6.0,3.0,9.0,2.5,1.050,8.500,"0.0, -0.5",1,1.900,"0.0, +0.5",2,1.800,"5.5, 6.0",1.0,1.850,"5.5, 6.0",2.0,1.850,USA (JKey) or Draw,1.444,Draw or Ukraine (DangerDim77),1.600,USA (JKey) or Ukraine (DangerDim77),1.166,1,1.727,2,2.000,20250425,,,,,,,,True,0.0,-0.5,0.0,0.5,3.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,5.5,6.0,5.5,6.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
541,173641608,11271963,11269987,4.0,2.0,6.0,2.5,1.025,10.500,,,,,,,,,,,,,Chelsea (Jesus) or Draw,1.285,Draw or Rapid Vienna (Diego),2.150,Chelsea (Jesus) or Rapid Vienna (Diego),1.083,1,1.363,2,3.000,20250426,,,,,,,,True,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
542,173641613,11259391,11259392,2.0,2.0,4.0,2.5,1.285,3.500,,,,,,,,,,,,,Real Betis (Lucas) or Draw,1.300,Draw or Panathinaikos (Delpiero),1.700,Real Betis (Lucas) or Panathinaikos (Delpiero),1.222,1,1.533,2,2.375,20250426,,,,,,,,True,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
543,173641616,11275381,11259445,3.0,2.0,5.0,2.5,1.062,8.000,"0.0, -0.5",1,1.850,"0.0, +0.5",2,1.850,"5.0, 5.5",1.0,1.850,"5.0, 5.5",2.0,1.850,Juventus (Jesus) or Draw,1.444,Draw or Lazio (Lucas),1.666,Juventus (Jesus) or Lazio (Lucas),1.125,1,1.666,2,2.100,20250426,,,,,,,,True,0.0,-0.5,0.0,0.5,1.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,5.0,5.5,5.0,5.5,meia_perda,meio_ganho,False,False,False,False,False,True,False,False,False,False,True,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
544,173641623,11238290,11259444,2.0,1.0,3.0,2.5,1.166,4.500,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Inter (Carlos) or Draw,1.333,Draw or Napoli (Delpiero),1.666,Inter (Carlos) or Napoli (Delpiero),1.166,1,1.571,2,2.250,20250426,,,,,,,,True,0.0,-0.5,0.0,0.5,1.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,4.0,4.5,4.0,4.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
545,173641638,11222334,11259445,1.0,2.0,3.0,2.5,1.062,8.000,"0.0, +0.5",1,1.875,"0.0, -0.5",2,1.825,5.5,1.0,1.850,5.5,2.0,1.850,AC Milan (Diego) or Draw,1.700,Draw or Lazio (Lucas),1.444,AC Milan (Diego) or Lazio (Lucas),1.142,1,2.200,2,1.615,20250426,,,,,,,,True,0.0,0.5,0.0,-0.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.5,5.5,5.5,5.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
546,173641649,11275381,11238290,4.0,1.0,5.0,2.5,1.025,10.500,-1.0,1,1.775,+1.0,2,1.925,6.5,1.0,1.875,6.5,2.0,1.825,Juventus (Jesus) or Draw,1.222,Draw or Inter (Carlos),2.200,Juventus (Jesus) or Inter (Carlos),1.100,1,1.333,2,3.250,20250426,,,,,,,,True,-1.0,-1.0,1.0,1.0,3.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,6.5,6.5,6.5,6.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
547,173641658,11222334,11259444,4.0,5.0,9.0,2.5,1.083,7.000,"0.0, -0.5",1,1.850,"0.0, +0.5",2,1.850,"5.0, 5.5",1.0,1.850,"5.0, 5.5",2.0,1.850,AC Milan (Diego) or Draw,1.444,Draw or Napoli (Delpiero),1.666,AC Milan (Diego) or Napoli (Delpiero),1.125,1,1.666,2,2.100,20250426,,,,,,,,True,0.0,-0.5,0.0,0.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.0,5.5,5.0,5.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
548,173641663,11259445,11238290,2.0,1.0,3.0,2.5,1.100,6.500,"0.0, -0.5",1,1.825,"0.0, +0.5",2,1.875,5.0,1.0,1.800,5.0,2.0,1.900,Lazio (Lucas) or Draw,1.444,Draw or Inter (Carlos),1.666,Lazio (Lucas) or Inter (Carlos),1.125,1,1.666,2,2.100,20250426,,,,,,,,True,0.0,-0.5,0.0,0.5,1.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,5.0,5.0,5.0,5.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
549,173641668,11222334,11238290,3.0,3.0,6.0,2.5,1.030,10.000,"0.0, -0.5",1,1.900,"0.0, +0.5",2,1.800,"6.0, 6.5",1.0,1.825,"6.0, 6.5",2.0,1.875,AC Milan (Diego) or Draw,1.500,Draw or Inter (Carlos),1.615,AC Milan (Diego) or Inter (Carlos),1.111,1,1.727,2,2.000,20250426,,,,,,,,True,0.0,-0.5,0.0,0.5,0.0,meia_perda,meio_ganho,False,False,False,False,True,False,False,False,False,True,False,6.0,6.5,6.0,6.5,meia_perda,meio_ganho,False,False,False,False,False,True,False,False,False,False,True,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
550,173641671,11259444,11275381,2.0,3.0,5.0,2.5,1.100,6.500,"+1.0, +1.5",1,1.800,"-1.0, -1.5",2,1.900,5.0,1.0,1.850,5.0,2.0,1.850,Napoli (Delpiero) or Draw,2.300,Draw or Juventus (Jesus),1.181,Napoli (Delpiero) or Juventus (Jesus),1.111,1,3.500,2,1.285,20250426,,,,,,,,True,1.0,1.5,-1.0,-1.5,-1.0,meio_ganho,meia_perda,False,False,False,False,False,False,False,False,False,False,True,5.0,5.0,5.0,5.0,reembolso,reembolso,False,False,True,False,False,False,False,False,True,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
551,173641675,11222334,11275381,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250426,,,,,,,,False,,,,,-3.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,indefinido,indefinido,False,False,False,True,False,False,False,True
552,173641679,11259444,11259445,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250426,,,,,,,,False,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,indefinido,indefinido,False,False,False,True,False,False,False,True
553,173641683,11259445,11275381,5.0,3.0,8.0,2.5,1.062,8.000,,,,,,,,,,,,,Lazio (Lucas) or Draw,1.909,Draw or Juventus (Jesus),1.300,Lazio (Lucas) or Juventus (Jesus),1.125,1,2.625,2,1.444,20250426,,,,,,,,True,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
554,173641688,11259444,11238290,4.0,1.0,5.0,2.5,1.142,5.000,,,,,,,,,,,,,Napoli (Delpiero) or Draw,1.666,Draw or Inter (Carlos),1.363,Napoli (Delpiero) or Inter (Carlos),1.166,1,2.200,2,1.615,20250426,,,,,,,,True,,,,,3.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
555,173641691,11259445,11222334,3.0,2.0,5.0,2.5,1.062,8.000,-0.5,1,1.900,+0.5,2,1.800,5.5,1.0,1.850,5.5,2.0,1.850,Lazio (Lucas) or Draw,1.400,Draw or AC Milan (Diego),1.800,Lazio (Lucas) or AC Milan (Diego),1.125,1,1.615,2,2.200,20250426,,,,,,,,True,-0.5,-0.5,0.5,0.5,1.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,5.5,5.5,5.5,5.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
556,173641695,11238290,11275381,2.0,5.0,7.0,2.5,1.030,10.000,+1.0,1,1.800,-1.0,2,1.900,6.5,1.0,1.900,6.5,2.0,1.800,Inter (Carlos) or Draw,2.100,Draw or Juventus (Jesus),1.285,Inter (Carlos) or Juventus (Jesus),1.100,1,2.750,2,1.400,20250426,,,,,,,,True,1.0,1.0,-1.0,-1.0,-3.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,6.5,6.5,6.5,6.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
557,173641698,11259444,11222334,3.0,2.0,5.0,2.5,1.050,8.500,,,,,,,,,,,,,Napoli (Delpiero) or Draw,1.666,Draw or AC Milan (Diego),1.444,Napoli (Delpiero) or AC Milan (Diego),1.125,1,2.100,2,1.666,20250426,,,,,,,,True,,,,,1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
558,173641703,11238290,11259445,2.0,2.0,4.0,2.5,1.125,5.500,,,,,,,,,,,,,Inter (Carlos) or Draw,1.666,Draw or Lazio (Lucas),1.400,Inter (Carlos) or Lazio (Lucas),1.142,1,2.100,2,1.666,20250426,,,,,,,,True,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
559,173641717,11238290,11222334,3.0,3.0,6.0,2.5,1.030,10.000,+0.5,1,1.825,-0.5,2,1.875,6.5,1.0,1.900,6.5,2.0,1.800,Inter (Carlos) or Draw,1.800,Draw or AC Milan (Diego),1.400,Inter (Carlos) or AC Milan (Diego),1.111,1,2.250,2,1.571,20250426,,,,,,,,True,0.5,0.5,-0.5,-0.5,0.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,6.5,6.5,6.5,6.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
560,173641734,11275381,11259444,2.0,3.0,5.0,2.5,1.062,8.000,"-1.0, -1.5",1,1.800,"+1.0, +1.5",2,1.900,5.5,1.0,1.875,5.5,2.0,1.825,Juventus (Jesus) or Draw,1.166,Draw or Napoli (Delpiero),2.400,Juventus (Jesus) or Napoli (Delpiero),1.111,1,1.250,2,3.750,20250426,,,,,,,,True,-1.0,-1.5,1.0,1.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.5,5.5,5.5,5.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
561,173641739,11275381,11222334,4.0,5.0,9.0,2.5,1.015,12.000,"-0.5, -1.0",1,1.800,"+0.5, +1.0",2,1.900,7.0,1.0,1.900,7.0,2.0,1.800,Juventus (Jesus) or Draw,1.285,Draw or AC Milan (Diego),2.000,Juventus (Jesus) or AC Milan (Diego),1.100,1,1.444,2,2.625,20250426,,,,,,,,True,-0.5,-1.0,0.5,1.0,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,7.0,7.0,7.0,7.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
562,173641746,11259445,11259444,2.0,4.0,6.0,2.5,1.444,2.625,"0.0, -0.5",1,1.825,"0.0, +0.5",2,1.875,"3.0, 3.5",1.0,1.800,"3.0, 3.5",2.0,1.900,Lazio (Lucas) or Draw,1.300,Draw or Napoli (Delpiero),1.615,Lazio (Lucas) or Napoli (Delpiero),1.250,1,1.571,2,2.250,20250426,,,,,,,,True,0.0,-0.5,0.0,0.5,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,3.0,3.5,3.0,3.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
563,173642318,11274994,11274995,2.0,4.0,6.0,2.5,1.050,8.500,+0.5,1,1.800,-0.5,2,1.900,5.5,1.0,1.850,5.5,2.0,1.850,Arsenal (Sensei) or Draw,1.800,Draw or Inter (Giant),1.363,Arsenal (Sensei) or Inter (Giant),1.125,1,2.250,2,1.571,20250426,,,,,,,,True,0.5,0.5,-0.5,-0.5,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.5,5.5,5.5,5.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
564,173642320,11254825,11254826,1.0,4.0,5.0,2.5,1.050,8.500,"0.0, -0.5",1,1.850,"0.0, +0.5",2,1.850,"5.5, 6.0",1.0,1.800,"5.5, 6.0",2.0,1.900,Real Madrid (Jetli) or Draw,1.444,Draw or PSG (Mariner),1.666,Real Madrid (Jetli) or PSG (Mariner),1.125,1,1.666,2,2.100,20250426,,,,,,,,True,0.0,-0.5,0.0,0.5,-3.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.5,6.0,5.5,6.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
565,173642324,11254827,11274995,4.0,4.0,8.0,2.5,1.083,7.000,+1.0,1,1.825,-1.0,2,1.875,"5.0, 5.5",1.0,1.850,"5.0, 5.5",2.0,1.850,Bayern (Razvan) or Draw,2.150,Draw or Inter (Giant),1.250,Bayern (Razvan) or Inter (Giant),1.111,1,3.000,2,1.363,20250426,,,,,,,,True,1.0,1.0,-1.0,-1.0,0.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,5.0,5.5,5.0,5.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
566,173642326,11274994,11254825,2.0,1.0,3.0,2.5,1.083,7.000,"-0.5, -1.0",1,1.850,"+0.5, +1.0",2,1.850,"5.0, 5.5",1.0,1.925,"5.0, 5.5",2.0,1.775,Arsenal (Sensei) or Draw,1.250,Draw or Real Madrid (Jetli),1.950,Arsenal (Sensei) or Real Madrid (Jetli),1.125,1,1.400,2,2.750,20250426,,,,,,,,True,-0.5,-1.0,0.5,1.0,1.0,meio_ganho,meia_perda,False,False,False,False,False,False,False,False,False,False,True,5.0,5.5,5.0,5.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
567,173642330,11254827,11254826,3.0,4.0,7.0,2.5,1.050,8.500,,,,,,,,,,,,,Bayern (Razvan) or Draw,1.444,Draw or PSG (Mariner),1.666,Bayern (Razvan) or PSG (Mariner),1.125,1,1.666,2,2.100,20250426,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
568,173642334,11274995,11254825,4.0,5.0,9.0,2.5,1.071,7.500,,,,,,,,,,,,,Inter (Giant) or Draw,1.250,Draw or Real Madrid (Jetli),2.000,Inter (Giant) or Real Madrid (Jetli),1.125,1,1.400,2,2.750,20250426,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
